# Positional csv  (Up to date)
# 691 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.9 m/s):  "Main Parachute"
#
# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Air pressure (Pa)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
21.019,0.014,0.499,9.032e4
21.442,-9.524e-4,0.41,9.036e4
21.865,-0.005,0.111,9.04e4
22.288,0.003,0.133,9.044e4
22.711,0.004,0.187,9.047e4
23.134,0.003,0.189,9.051e4
23.557,0.002,0.107,9.055e4
23.98,0.017,0.537,9.059e4
24.402,0.003,0.539,9.062e4
24.825,0.016,0.736,9.066e4
25.248,-0.02,0.309,9.07e4
25.671,-0.002,0.026,9.074e4
26.094,0.01,0.364,9.077e4
26.516,-0.002,0.194,9.081e4
26.938,0.004,0.249,9.085e4
27.36,0.004,0.283,9.089e4
27.783,-5.726e-4,0.083,9.092e4
28.205,0.008,0.325,9.096e4
28.627,-0.002,0.082,9.1e4
29.049,0.013,0.438,9.104e4
29.471,-0.004,0.237,9.107e4
29.892,0.002,0.176,9.111e4
30.314,0.016,0.523,9.115e4
30.736,0.005,0.56,9.119e4
31.158,0.002,0.543,9.122e4
31.58,-0.011,0.141,9.126e4
32.001,0.008,0.341,9.13e4
32.423,-0.002,0.102,9.133e4
32.844,0.031,0.748,9.137e4
33.265,-0.018,0.38,9.141e4
33.687,-0.004,0.03,9.145e4
34.108,0.003,0.086,9.148e4
34.529,0.009,0.351,9.152e4
34.95,-6.266e-4,0.225,9.156e4
35.371,8.367e-4,0.083,9.16e4
35.792,0.004,0.171,9.163e4
36.213,0.002,0.124,9.167e4
36.634,0.012,0.427,9.171e4
37.054,-3.118e-4,0.339,9.174e4
37.475,0.009,0.471,9.178e4
37.896,-0.001,0.371,9.182e4
38.316,-0.003,0.15,9.186e4
38.737,0.002,0.032,9.189e4
39.157,0.008,0.301,9.193e4
39.577,0.001,0.242,9.197e4
39.998,0.015,0.543,9.2e4
40.418,0.025,0.85,9.204e4
40.838,-0.012,0.648,9.208e4
41.259,-0.014,0.293,9.212e4
41.679,0.025,0.724,9.215e4
42.099,-0.02,0.267,9.219e4
42.519,0.006,0.367,9.223e4
42.939,-0.004,0.011,9.226e4
43.359,0.004,0.109,9.23e4
43.778,0.003,0.057,9.234e4
44.198,0.013,0.458,9.237e4
44.617,-0.007,0.108,9.241e4
45.037,0.002,0.019,9.245e4
45.456,0.006,0.258,9.249e4
45.876,0.023,0.685,9.252e4
46.295,-0.006,0.533,9.256e4
46.714,-0.006,0.342,9.26e4
47.134,-0.003,0.085,9.263e4
47.553,0.009,0.362,9.267e4
47.972,-0.004,0.045,9.271e4
48.391,0.008,0.332,9.274e4
48.81,-2.686e-4,0.215,9.278e4
49.228,6.511e-4,0.007,9.282e4
49.647,0.003,0.012,9.285e4
50.066,0.013,0.436,9.289e4
50.484,-0.005,0.195,9.293e4
50.903,0.001,0.025,9.296e4
51.321,0.007,0.28,9.3e4
51.74,0.009,0.444,9.304e4
52.158,-0.007,0.074,9.308e4
52.576,0.016,0.507,9.311e4
52.994,-0.01,0.04,9.315e4
53.413,0.005,0.219,9.319e4
53.831,7.917e-4,0.07,9.322e4
54.249,0.003,0.007,9.326e4
54.667,0.003,0.088,9.33e4
55.085,0.007,0.291,9.333e4
55.502,-0.001,0.075,9.337e4
55.92,0.003,0.066,9.341e4
56.338,0.016,0.51,9.344e4
56.755,0.002,0.5,9.348e4
57.173,-0.007,0.237,9.352e4
57.591,0.01,0.437,9.355e4
58.008,0.003,0.44,9.359e4
58.426,-0.004,0.243,9.363e4
58.843,0.002,0.178,9.366e4
59.26,0.006,0.302,9.37e4
59.678,0.012,0.516,9.374e4
60.095,-0.01,0.138,9.377e4
60.512,0.009,0.381,9.381e4
60.929,0.012,0.576,9.384e4
61.346,-0.003,0.459,9.388e4
61.763,0.004,0.478,9.392e4
62.18,0.015,0.674,9.395e4
62.597,0.003,0.67,9.399e4
63.014,-0.02,0.089,9.403e4
63.431,0.003,0.105,9.406e4
63.848,0.007,0.294,9.41e4
64.264,0.008,0.425,9.414e4
64.68,-0.004,0.231,9.417e4
65.097,0.006,0.348,9.421e4
65.513,0.023,0.721,9.425e4
65.93,-0.023,0.089,9.428e4
66.346,0.014,0.464,9.432e4
66.762,0.002,0.439,9.436e4
67.179,-0.004,0.225,9.439e4
67.595,0.004,0.265,9.443e4
68.011,-6.154e-4,0.03,9.446e4
68.426,0.032,0.76,9.45e4
68.842,-0.023,0.276,9.454e4
69.259,0.004,0.309,9.457e4
69.674,0.029,0.782,9.461e4
70.09,0.01,0.865,9.465e4
70.506,-0.034,0.166,9.468e4
70.922,0.002,0.016,9.472e4
71.338,0.013,0.44,9.475e4
71.753,0.015,0.652,9.479e4
72.168,-0.008,0.463,9.483e4
72.584,-0.008,0.052,9.486e4
72.999,0.008,0.312,9.49e4
73.414,0.011,0.505,9.494e4
73.83,4.819e-4,0.457,9.497e4
74.245,0.029,0.849,9.501e4
74.66,-0.027,0.365,9.504e4
75.076,-5.259e-4,0.259,9.508e4
75.49,0.028,0.75,9.512e4
75.905,-0.025,0.128,9.515e4
76.32,0.025,0.67,9.519e4
76.735,-0.011,0.428,9.523e4
77.15,0.019,0.714,9.526e4
77.565,-0.018,0.325,9.53e4
77.98,0.077,1.257,9.533e4
78.394,-0.058,0.596,9.537e4
78.81,-0.008,0.372,9.541e4
79.225,-0.003,0.172,9.544e4
79.639,0.02,0.612,9.548e4
80.053,-0.016,0.102,9.551e4
80.467,0.004,0.2,9.555e4
80.881,0.025,0.693,9.559e4
81.295,-0.021,0.072,9.562e4
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=81.296 seconds
81.296,0.857,0.08,9.562e4
81.677,0.05,0.774,9.566e4
82.073,-0.024,0.26,9.569e4
82.469,0.007,0.387,9.572e4
82.866,-0.004,0.137,9.576e4
83.262,0.004,0.208,9.579e4
83.658,0.001,0.1,9.583e4
84.054,0.018,0.554,9.586e4
84.45,-0.008,0.299,9.59e4
84.847,-8.744e-4,0.138,9.593e4
85.243,0.009,0.38,9.597e4
85.638,-0.003,0.172,9.6e4
86.034,0.001,0.025,9.603e4
86.43,0.003,0.056,9.607e4
86.826,0.025,0.656,9.61e4
87.221,-0.007,0.494,9.614e4
87.617,-0.002,0.379,9.617e4
88.013,0.012,0.567,9.621e4
88.409,-0.008,0.337,9.624e4
88.805,-0.002,0.167,9.628e4
89.2,0.024,0.675,9.631e4
89.595,-0.017,0.263,9.634e4
89.991,-3.189e-4,0.1,9.638e4
90.386,0.062,1.091,9.641e4
90.781,-0.021,0.841,9.645e4
91.178,-0.033,0.098,9.648e4
91.573,0.002,0.055,9.652e4
91.968,0.007,0.29,9.655e4
92.363,0.016,0.592,9.658e4
92.758,-0.013,0.205,9.662e4
93.153,0.009,0.412,9.665e4
93.548,-0.005,0.096,9.669e4
93.943,0.003,0.118,9.672e4
94.338,0.027,0.7,9.676e4
94.732,-0.015,0.373,9.679e4
95.127,-0.004,0.101,9.682e4
95.522,0.005,0.246,9.686e4
95.916,0.004,0.285,9.689e4
96.311,-0.001,0.067,9.693e4
96.705,0.024,0.648,9.696e4
97.099,0.036,1.037,9.699e4
97.494,-0.044,0.389,9.703e4
97.889,-0.001,0.282,9.706e4
98.283,7.521e-4,0.204,9.71e4
98.678,0.012,0.479,9.713e4
99.072,0.033,0.913,9.717e4
99.466,-0.024,0.544,9.72e4
99.86,-0.012,0.096,9.723e4
100.255,0.006,0.283,9.727e4
100.648,7.159e-4,0.203,9.73e4
101.042,5.997e-4,0.034,9.734e4
101.436,0.006,0.239,9.737e4
101.829,-7.661e-5,0.066,9.74e4
102.329,0.032,0.752,9.745e4
102.723,-0.025,0.125,9.748e4
103.117,0.002,0.036,9.752e4
103.51,0.003,0.134,9.755e4
103.904,0.023,0.653,9.758e4
104.297,-0.012,0.37,9.762e4
104.691,0.011,0.539,9.765e4
105.084,-0.012,0.024,9.769e4
105.477,0.016,0.523,9.772e4
105.87,0.028,0.884,9.775e4
106.264,0.016,1.023,9.779e4
106.657,-0.011,0.876,9.782e4
107.051,-0.035,0.14,9.786e4
107.445,0.007,0.312,9.789e4
107.838,-9.426e-4,0.165,9.792e4
108.231,0.014,0.511,9.796e4
108.623,-0.007,0.271,9.799e4
109.016,-0.001,0.003,9.802e4
109.409,0.005,0.207,9.806e4
109.801,0.019,0.596,9.809e4
110.194,-0.006,0.436,9.813e4
110.587,0.032,0.877,9.816e4
110.979,-0.01,0.725,9.819e4
111.372,-0.012,0.481,9.823e4
111.765,-0.009,0.061,9.826e4
112.158,0.002,0.025,9.83e4
112.55,0.054,1.006,9.833e4
112.942,-0.048,0.137,9.836e4
113.335,0.002,0.054,9.84e4
113.727,0.039,0.852,9.843e4
114.119,-0.032,0.22,9.846e4
114.512,0.005,0.296,9.85e4
114.903,-0.002,0.055,9.853e4
115.295,0.01,0.394,9.857e4
115.687,-0.005,0.044,9.86e4
116.079,0.003,0.119,9.863e4
116.471,0.002,0.04,9.867e4
116.862,0.003,0.084,9.87e4
117.254,0.015,0.503,9.873e4
117.645,0.006,0.571,9.877e4
118.037,0.046,1.087,9.88e4
118.429,-0.028,0.748,9.883e4
118.821,-0.019,0.373,9.887e4
119.213,-0.001,0.258,9.89e4
119.604,-2.334e-4,0.106,9.894e4
119.996,0.045,0.921,9.897e4
120.387,0.003,0.928,9.9e4
120.779,-0.033,0.402,9.904e4
121.17,0.009,0.533,9.907e4
121.562,0.069,1.271,9.91e4
121.953,-0.013,1.132,9.914e4
122.345,-0.061,0.189,9.917e4
122.737,0.079,1.251,9.92e4
123.128,-0.067,0.404,9.924e4
123.52,0.011,0.568,9.927e4
123.911,-0.014,0.014,9.931e4
124.302,0.012,0.44,9.934e4
124.693,-0.006,0.174,9.937e4
125.083,0.017,0.567,9.941e4
125.474,-0.003,0.464,9.944e4
125.865,-0.008,0.04,9.947e4
126.255,0.003,0.074,9.951e4
126.646,0.02,0.586,9.954e4
127.036,-0.012,0.25,9.957e4
127.426,0.013,0.523,9.961e4
127.817,0.022,0.808,9.964e4
128.207,-0.027,0.271,9.967e4
128.598,-2.192e-4,0.141,9.971e4
128.988,0.006,0.289,9.974e4
129.378,0.009,0.451,9.977e4
129.768,0.012,0.628,9.981e4
130.158,-0.008,0.433,9.984e4
130.548,-0.007,0.099,9.987e4
130.938,0.009,0.357,9.991e4
131.328,0.026,0.766,9.994e4
131.717,-0.027,0.007,9.997e4
132.107,0.009,0.354,1e5
132.497,-6.396e-5,0.274,1e5
132.997,0.018,0.609,1.001e5
133.386,-0.015,0.155,1.001e5
133.776,0.039,0.859,1.002e5
134.166,-0.035,0.023,1.002e5
134.556,0.016,0.51,1.002e5
134.945,-0.008,0.233,1.003e5
135.334,2.263e-4,0.099,1.003e5
135.723,0.003,0.162,1.003e5
136.113,0.002,0.138,1.004e5
136.502,0.004,0.239,1.004e5
136.891,-3.613e-5,0.09,1.004e5
137.391,0.027,0.693,1.005e5
137.779,-0.021,0.152,1.005e5
138.169,0.001,0.002,1.005e5
138.557,0.002,0.002,1.006e5
138.946,0.003,0.086,1.006e5
139.335,0.005,0.232,1.006e5
139.723,0.015,0.554,1.007e5
140.112,-0.01,0.264,1.007e5
140.501,-0.001,0.002,1.007e5
140.889,0.008,0.328,1.008e5
141.278,-0.003,0.05,1.008e5
141.666,0.063,1.093,1.008e5
142.055,-0.051,0.36,1.009e5
142.444,0.004,0.391,1.009e5
142.832,-0.003,0.216,1.009e5
143.221,2.944e-4,0.063,1.01e5
143.609,0.008,0.331,1.01e5
143.997,-0.003,0.089,1.01e5
144.385,0.017,0.544,1.011e5
144.773,-0.01,0.216,1.011e5
145.161,0.006,0.341,1.011e5
145.549,0.013,0.563,1.012e5
145.937,0.059,1.198,1.012e5
# Event GROUND_HIT occurred at t=146.368 seconds
# Event SIMULATION_END occurred at t=146.368 seconds
146.368,-0.073,0.246,1.012e5
